TIC 230061010|Gaia DR2 1696798367260229376|HIP 74793|11 UMi|HD 136726
14 And|HD 221345|TIC 333225860|HIP 116076|Gaia DR2 1920113512486282240
TIC 219483057|Gaia DR2 1385293808145621504|14 Her|HIP 79248|HD 145675
HD 186427|16 Cyg B|TIC 27533327|Gaia DR2 2135550755683407232|HIP 96901
Gaia DR2 1756741374681702784|HIP 103527|18 Del|TIC 354489950|HD 199665
1RXS J160929.1-210524|Gaia DR2 6243841249531772800|TIC 48964101
TIC 1713457|HD 90043|HIP 50887|Gaia DR2 3830897080395058048|24 Sex
2MASS J12073346-3932539|TIC 102076870|Gaia DR2 3459372646830687104
Gaia DR2 146487556211644544|TIC 118893899|2MASS J04414489+2301513
HD 16232|Gaia DR2 102082477749475200|HIP 12184|30 Ari B|TIC 22874788
TIC 233721425|Gaia DR2 2256800156348230400|42 Dra|HIP 90344|HD 170693
TIC 21535479|Gaia DR2 777254360337133312|47 UMa|HIP 53721|HD 95128
HD 73108|TIC 356478817|HIP 42527|4 UMa|Gaia DR2 1092230803510960640
Gaia DR2 2099980386293545216|TIC 120891972|Kepler-770
HIP 113357|HD 217014|TIC 139298196|51 Peg|Gaia DR2 2835207319109249920
HD 75732|55 Cnc|TIC 332064670|HIP 43587|Gaia DR2 704967037090946688
HIP 64924|Gaia DR2 3507879565090229888|HD 115617|61 Vir|TIC 422478973
TIC 444865362|HIP 31039|6 Lyn|HD 45410|Gaia DR2 1004358968092652544
HIP 65721|70 Vir|HD 117176|TIC 95473936|Gaia DR2 3740176925743650688
HIP 31592|7 CMa|TIC 48237215|HD 47205|Gaia DR2 2939555954747554176
81 Cet|TIC 35725282|Gaia DR2 2495420602212048640|HIP 12247|HD 16400
AB Pic|HIP 30034|Gaia DR2 5495052596695570816|TIC 260351540|HD 44627
TIC 33355302|HIP 49067|Gaia DR2 3770419611540574080|BD-08 2823
TIC 148563075|Gaia DR2 3758629479636689536|BD-10 3166
HIP 104780|TIC 230183006|Gaia DR2 1759623813132980864|BD+14 4559
Gaia DR2 2367734656180397952|TIC 75377076|HIP 2247|BD-17 63
Gaia DR2 625137162857354880|TIC 95359428|BD+20 2457
Gaia DR2 438899345022759424|BD+48 738|TIC 302069358
HD 39060|bet Pic|TIC 270577175|HIP 27321|Gaia DR2 4792774797545105664
Gaia DR2 4263752921128319616|CoRoT-10|TIC 405010127
TIC 110178537|CoRoT-11|Gaia DR2 4285511294172309504
Gaia DR2 3107255598526406912|CoRoT-12|TIC 280210963
TIC 281909674|CoRoT-13|Gaia DR2 3101974231859723776
Gaia DR2 3101145195794755072|TIC 282706928|CoRoT-14
TIC 218299312|Gaia DR2 4255957040079935488|CoRoT-17
Gaia DR2 3120058170178779392|TIC 37168957|CoRoT-18
CoRoT-19|TIC 42821097|Gaia DR2 3120002649138831360
CoRoT-1|Gaia DR2 3105507886130792448|TIC 36352297
TIC 234825296|CoRoT-20|Gaia DR2 3120122805143587328
Gaia DR2 4283597937777249408|CoRoT-23|TIC 108155949
Gaia DR2 4287820848378092672|CoRoT-2|TIC 391958006
Gaia DR2 4263427117767106816|CoRoT-3|TIC 392353449
Gaia DR2 3113201890547554432|CoRoT-4|TIC 36440357
CoRoT-5|Gaia DR2 3125611120515388800|TIC 234112540
TIC 130502317|Gaia DR2 4285684673395749120|CoRoT-6
